metric,higher_is_better,domain,mask_severity,placement_a,placement_b,n_subjects,mean_a,mean_b,mean_diff,std_diff,t_stat,df,p_raw,p_bonferroni,cohens_d,significant_05_adj,significant_01_adj
psnr,True,dtd,10,top_right,center,1926,18.465929,20.627322,-2.161392,3.896765,-24.3421,1925,2.5031430989961007e-114,2.5031430989961007e-113,-0.5547,True,True
psnr,True,dtd,10,top_right,bottom_left,1926,18.465929,18.714623,-0.248694,3.739602,-2.9186,1925,0.00355742977570942,0.0355742977570942,-0.0665,True,False
psnr,True,dtd,10,top_right,bottom_right,1926,18.465929,18.898017,-0.432088,3.882318,-4.8844,1925,1.1232940117265435e-06,1.1232940117265435e-05,-0.1113,True,True
psnr,True,dtd,10,center,bottom_left,1926,20.627322,18.714623,1.912699,3.912045,21.4571,1925,9.4762469703389e-92,9.4762469703389e-91,0.4889,True,True
psnr,True,dtd,10,center,bottom_right,1926,20.627322,18.898017,1.729305,3.88796,19.5199,1925,1.4358286558039601e-77,1.43582865580396e-76,0.4448,True,True
psnr,True,dtd,10,bottom_left,bottom_right,1926,18.714623,18.898017,-0.183394,3.372099,-2.3868,1925,0.017092516805630766,0.17092516805630764,-0.0544,False,False
psnr,True,dtd,20,top_left,top_right,1926,17.814419,17.857387,-0.042968,2.679751,-0.7037,1925,0.4817159380892819,1.0,-0.016,False,False
psnr,True,dtd,20,top_left,center,1926,17.814419,19.914632,-2.100213,3.162572,-29.1441,1925,5.414333378891421e-155,5.4143333788914206e-154,-0.6641,True,True
psnr,True,dtd,20,top_left,bottom_left,1926,17.814419,18.196234,-0.381815,2.827282,-5.9267,1925,3.6539560118171043e-09,3.653956011817104e-08,-0.135,True,True
psnr,True,dtd,20,top_left,bottom_right,1926,17.814419,18.139835,-0.325416,3.122648,-4.5734,1925,5.1030411061427716e-06,5.103041106142771e-05,-0.1042,True,True
psnr,True,dtd,20,top_right,center,1926,17.857387,19.914632,-2.057245,3.405487,-26.5115,1925,2.7708856652462344e-132,2.770885665246234e-131,-0.6041,True,True
psnr,True,dtd,20,top_right,bottom_left,1926,17.857387,18.196234,-0.338847,3.158964,-4.7075,1925,2.6871531925880136e-06,2.6871531925880134e-05,-0.1073,True,True
psnr,True,dtd,20,top_right,bottom_right,1926,17.857387,18.139835,-0.282448,3.191128,-3.8844,1925,0.00010605452027290324,0.0010605452027290323,-0.0885,True,True
psnr,True,dtd,20,center,bottom_left,1926,19.914632,18.196234,1.718398,3.1248,24.134,1925,1.2001660754979218e-112,1.2001660754979218e-111,0.5499,True,True
psnr,True,dtd,20,center,bottom_right,1926,19.914632,18.139835,1.774797,3.119419,24.9691,1925,1.9386844157821255e-119,1.9386844157821256e-118,0.569,True,True
psnr,True,dtd,20,bottom_left,bottom_right,1926,18.196234,18.139835,0.056399,2.774354,0.8921,1925,0.37242694622545247,1.0,0.0203,False,False
psnr,True,dtd,30,top_left,top_right,1926,17.470321,17.571983,-0.101662,2.339645,-1.9069,1925,0.05667812724647613,0.5667812724647613,-0.0435,False,False
psnr,True,dtd,30,top_left,center,1926,17.470321,19.47409,-2.003768,2.748158,-31.9988,1925,1.5930834030956981e-180,1.5930834030956983e-179,-0.7291,True,True
psnr,True,dtd,30,top_left,bottom_left,1926,17.470321,17.896477,-0.426155,2.318882,-8.0652,1925,1.271830911011121e-15,1.2718309110111209e-14,-0.1838,True,True
psnr,True,dtd,30,top_left,bottom_right,1926,17.470321,17.82808,-0.357759,2.687069,-5.843,1925,6.0045631345981406e-09,6.00456313459814e-08,-0.1331,True,True
psnr,True,dtd,30,top_right,center,1926,17.571983,19.47409,-1.902107,2.976163,-28.0483,1925,1.978480938727569e-145,1.978480938727569e-144,-0.6391,True,True
psnr,True,dtd,30,top_right,bottom_left,1926,17.571983,17.896477,-0.324494,2.633533,-5.4075,1925,7.187330626467212e-08,7.187330626467212e-07,-0.1232,True,True
